name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
Custer's Last Stand,https://www.mountainproject.com/route/105723919/custers-last-stand,1.0,Trad,5.9,1,80,34.08111,-116.14794,105723919,"['Indian Country', 'Rattlesnake Canyon', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Flakey Friends,https://www.mountainproject.com/route/106043845/flakey-friends,1.0,"Trad, TR",5.9,1,,34.06911,-116.04105,106043845,"['The Tusk', 'Magic Mountain Area', 'OZ Area', 'Joshua Tree National Park', 'California']",9,S,
Who Cut The Cheese?,https://www.mountainproject.com/route/106709406/who-cut-the-cheese,1.0,Trad,5.9 PG13,1,60,34.00947,-116.05374,106709406,"['West Tiers (Lower Tier)', 'West Tiers', 'Split Rocks', 'Joshua Tree National Park', 'California']",9,PG13,
Wind Sprint,https://www.mountainproject.com/route/106986210/wind-sprint,1.0,Trad,5.9,1,30,33.94565,-116.05707,106986210,"['Pac Man Rock', 'East Virgin Islands', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",9,S,
Kleptomania,https://www.mountainproject.com/route/107165244/kleptomania,1.0,Trad,5.9,1,80,33.94492,-116.06057,107165244,"['Hone Dome', 'East Virgin Islands', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",9,S,
Fumblers Below The Roof,https://www.mountainproject.com/route/107165273/fumblers-below-the-roof,1.0,Trad,5.9,1,100,33.94422,-116.05694,107165273,"['Desert Island', 'East Virgin Islands', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",9,S,
Flaming Doobries,https://www.mountainproject.com/route/106789345/flaming-doobries,1.0,Trad,5.9,1,50,34.06091,-116.17034,106789345,"['Pernicious Dome', 'The Middle Kingdom', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Have a Ball,https://www.mountainproject.com/route/106819777/have-a-ball,1.0,Trad,5.9,1,50,34.10048,-116.13234,106819777,"['The Teste', 'Northeast Hills', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Bad Brains,https://www.mountainproject.com/route/105725854/bad-brains,1.0,Trad,5.9,1,50,33.98512,-116.05645,105725854,"['Zebra Cliffs East Face', 'Zebra Cliffs', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Shit Happens,https://www.mountainproject.com/route/106660511/shit-happens,1.0,Trad,5.9 R,1,40,33.9941,-116.1404,106660511,"['The Saddlehorn', 'Saddle Rocks Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,R,
