Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Girl Power","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724660/girl-power,0.9,-1,Sport,5.0,1,40,34.08599,-116.14488
"Baby Steps","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724663/baby-steps,1.2,-1,Sport,5.2,1,40,34.08599,-116.14488
"Watering Hole","Corral Wall - Right Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110104698/watering-hole,1.0,-1,Trad,5.1,1,45,34.08355,-116.14213
"Hitchin' Post","Corral Wall - Right Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110104845/hitchin-post,1.2,-1,Trad,5.6,1,80,34.08355,-116.14213
"Necktie Party","Corral Wall - Right Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110104712/necktie-party,1.0,-1,Trad,5.6,1,60,34.08355,-116.14213
Sherbert,"The Stadium > Leisure World > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111247233/sherbert,1.7,-1,Sport,5.6,1,50,34.09188,-116.13731
"The Forum","The Stadium > Leisure World > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111247292/the-forum,1.2,-1,Sport,5.6,1,50,34.09188,-116.13731
Candyass,"Group Campsite  2 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106853684/candyass,1.6,-1,Sport,5.5,1,40,34.0966,-116.1576
Hodgepodge,"Hodgepodge Rock - North Face > Hodgepodge Rock > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722281/hodgepodge,1.8,-1,Trad,"5.4 R",1,40,34.09713,-116.16051
Hedgehog,"Hodgepodge Rock - West Face > Hodgepodge Rock > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105975139/hedgehog,1.1,-1,Trad,5.4,1,40,34.09669,-116.16054
